program_title,popular_name,federal_agency,objectives
Volunteer Generation Fund,Volunteer Generation Fund,"Corporation for National and Community Service, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","The Volunteer Generation Fund will increase the number of people who serve in meaningful roles as volunteers dedicated to addressing important needs in communities across America. More specifically, the Fund will support efforts that expand the capacity of volunteer connector organizations to recruit, manage, support, and retain individuals to serve in high quality assignments, including those that are aligned with special days of service such as the Martin Luther King Jr. Day of Service and the September 11th National Day of Service and Remembrance."
Nonprofit Capacity Building,Nonprofit Capacity Building,"Corporation for National and Community Service, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","The Nonprofit Capacity Building Program will make grants to intermediary organizations to support the provision of organizational development assistance – including training on best practices, financial planning, grant writing, and compliance with applicable tax laws – to small and mid-size nonprofit organizations, particularly those facing resource hardship challenges."
Freida J. Riley Teacher Award,,"CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION, CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION","To identify and reward an American teacher (grades K-12) who has overcome tremendous personal adversity, or made an enormous sacrifice in order to positively impact students."
Life Sciences Awards,,"CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION, CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION",The Life Sciences Awards are designed to encourage and promote “cutting edge” innovation in the field of life sciences.  Monetary Awards will be presented to a scientist; a high school educator; and two high school students. 
Christopher Columbus Awards,,"CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION, CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION","The Christopher Columbus Awards is a national, community-based STEM education program for middle school students.  The program challenges the students to work in teams of three to four with an adult coach, to identify an issue in their community and apply the scientific method to create an innovative solution to the problem."
Barry M. Goldwater Scholarship Program,Barry Goldwater Scholarship Foundation,"BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND, BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND","To honor former Senator Barry Goldwater through the operation of an education scholarship program, financed by a permanent trust fund endowment, designed to encourage outstanding students to pursue research careers in mathematics, the natural sciences, and engineering."
AmeriCorps VISTA Training & Logistics Support,VISTA (Volunteers in Service to America),"Corporation for National and Community Service, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE",To provide training and technical assistance to the AmeriCorps VISTA program in the professional development of its members and supervisory staff at community-based organizations and agencies.
Social Innovation Fund Pay for Success,Pay for Success,"Corporation for National and Community Service, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE",The Pay for Success program aims to increase investments in effective social interventions by changing the way government allocates and invests its resources-focusing on results and outcomes. The Pay for Success Grant Competition seeks to encourage the implementation of Pay for Success strategies in order to enhance the reach and impact of innovative community-based solutions that have compelling evidence of improving the lives of people in low-income communities. 
Operation AmeriCorps ,Operation AmeriCorps,"Corporation for National and Community Service, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","The Corporation for National and Community Service (CNCS) is seeking to partner with localities to use national service as the transformative catalyst to address a pressing problem. Tribal and local leaders (a mayor or other chief executive) will identify a high priority local challenge which AmeriCorps members from all three streams of service—AmeriCorps State and National, AmeriCorps NCCC, and AmeriCorps VISTA—can holistically address in a relatively short period of time (no more than two years). The solution must be place-based and ambitious in order to succeed in the competition. The solution may be a new initiative, or it may use national service to scale up an existing successful effort."
National Service and Civic Engagement Research Competition,,"Corporation for National and Community Service, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","To further achieve its mission, CNCS has a strong belief in the importance of research in order to identify effective strategies for national service and increase the evidence-base for its programs. This means engaging the broader community of academic researchers involved in studying and evaluating national service, volunteerism, and civic infrastructure. The goal of this competition is to increase the nation’s understanding and knowledge about the importance and potential of volunteering, national and community service, and/or civic engagement in America.  We are seeking applications that build on existing research in the field, address gaps in knowledge, and provide new ideas and methodological approaches to the study of national service.
"
Steps to Healthier Girls Program,(Steps to Healthier Girls Program),"IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES, HEALTH AND HUMAN SERVICES, DEPARTMENT OF","The objectives of the Steps to Healthier Girls Program are to: 1)Increase the number of girls who engage regularly in moderate physical activity, preferably daily, for at least 60 minutes per day; 2) increase girls' knowledge of healthy nutrition and healthy weight and promote strategies for accomplishing these; 3) increase girls' knowledge about the ill health effects of tobacco and promote strategies for accomplishing these; and 4) increase girls' knowledge of the importance of a healthy environment and strategies to accomplish this."
"Special Programs for the Aging, Title VII, Chapter 2, Long Term Care Ombudsman Services for Older Individuals",(State Grants for Long Term Care Ombudsman Services),"ADMINISTRATION FOR COMMUNITY LIVING (ACL), HEALTH AND HUMAN SERVICES, DEPARTMENT OF",The principal role of this Ombudsman Program is to investigate and resolve complaints made by or on behalf of residents of nursing homes or other long-term care facilities. Ombudsmen also promote policies and practices needed to improve the quality of care and life in long-term care facilities and educate both consumers and providers about residents' rights and good care practices. 
AmeriCorps VISTA Recruitment Support,,"CORPORATION FOR NATIONAL AND COMMUNITY SERVICE, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","Develop support relationships with higher education institutions to assist in their examination and improvement of efforts to maximize public responsiveness and recognition of AmeriCorps VISTA service opportunities within campus communities and, where appropriate, surrounding cities and communities. Increase the number of applicants applying to AmeriCorps VISTA service opportunities associated with those communities and environments."
High Intensity Drug Trafficking Areas Program,(HIDTA),"EXECUTIVE OFFICE OF THE PRESIDENT, EXECUTIVE OFFICE OF THE PRESIDENT","To reduce drug trafficking and drug production in the United States by-- (A) facilitating cooperation among Federal, State, local, and tribal law enforcement agencies to share information and implement coordinated enforcement activities; (B) enhancing law enforcement intelligence sharing among Federal, State, local, and tribal law enforcement agencies; (C) providing reliable law enforcement intelligence to law enforcement agencies needed to     design effective enforcement strategies and operations; and (D) supporting coordinated law enforcement strategies which maximize use of available resources to reduce the supply of illegal drugs in designated areas and in the United States as a whole.
"
DFC NATIONAL COMMUNITY ANTIDRUG COALITION INSTITUTE,NATIONAL COALITION INSTITUTE (NCI),"EXECUTIVE OFFICE OF THE PRESIDENT, EXECUTIVE OFFICE OF THE PRESIDENT","Per the authorizing legislation, for the Drug-Free Communities Program (DFC), of which $2,000,000 shall be made available as directed by section 4 of Public Law 107–82, as amended by Public Law 109–469 (21 U.S.C. 1521 note).  The organization receiving the grant under subsection (a) shall establish a National Community Antidrug Coalition Institute to:  (1) provide education, training, and technical assistance for coalition leaders and community teams, with emphasis on the development of coalitions serving economically disadvantaged areas; (2) develop and disseminate evaluation tools, mechanisms, and     measures to better assess and document coalition performance measures and outcomes; and (3) bridge the gap between research and practice by translating knowledge from research into practical information."
Anti-Doping Activities,,"EXECUTIVE OFFICE OF THE PRESIDENT, EXECUTIVE OFFICE OF THE PRESIDENT","The Office of National Drug Control Policy (ONDCP), Executive Office of the President, is seeking applications from a grantee to provide continued support of anti-doping efforts to educate athletes on the dangers of drug use and eliminate doping in amateur athletic competitions recognized by the United States Olympic Committee. Specifically:

1)	Provide continued support of anti-doping efforts to educate athletes on the dangers of drug use and eliminate doping in amateur athletic competitions recognized by the United States Olympic Committee;
2)	Provide support for athlete drug testing programs, research initiatives, educational programs and efforts to inform athletes of the adopted rules governing the use of prohibited substances outlined in the World Anti-Doping Code (the Code); and
3)	Provide support for legal efforts to enforce compliance with the Code and adjudicate athlete appeals involving doping violations.
"
Drug Court Training and Technical Assistance,,"EXECUTIVE OFFICE OF THE PRESIDENT, EXECUTIVE OFFICE OF THE PRESIDENT","The Administration supports a combined public health and public safety approach to reducing drug use and its consequences. The National Drug Control Strategy recognizes that for individuals who come into contact with the justice system, substance use disorders must be identified and treated as early in the justice process as possible, and incarceration cannot be the only (or even the primary) response to people with substance use disorders.  Drug courts and other evidence-based diversion programs are key to the success of this approach.  The Office of National Drug Control Policy (ONDCP) will award one or more Federal grants to establish training, technical assistance, and other resources to advance criminal justice reforms, including drug courts that respond to the needs of justice-involved individuals with substance use disorders."
Model Acts Program,Model Acts Program,"EXECUTIVE OFFICE OF THE PRESIDENT, EXECUTIVE OFFICE OF THE PRESIDENT","The purpose of the Model Acts Program includes:   A) advising States on establishing laws and policies
to address illicit drug use issues and (B) revising such model State drug laws and draft supplementary model State laws to take into consideration changes in illicit drug use issues in the State involved."
Research and Data Analysis,,"EXECUTIVE OFFICE OF THE PRESIDENT, EXECUTIVE OFFICE OF THE PRESIDENT",The purpose of research and data analysis is to inform policy formulation and assessment.  The work involves research and analysis of data as it pertains to drug policy.
Drug-Free Communities Support Program - National Youth Leadership Initiative,,"EXECUTIVE OFFICE OF THE PRESIDENT, EXECUTIVE OFFICE OF THE PRESIDENT",Implementation of National Youth Leadership Initiative (NYLI) at the National Leadership Forum and the Mid-Year Training Institute. Also develop infrastructure to expand outreach by the NYLI to diverse youth populations. These functions would further assist in providing technical assistance to Drug-Free community coalitions in their substance use prevention efforts.
Drug-Free Communities (DFC) Support Program,DFC,"EXECUTIVE OFFICE OF THE PRESIDENT, EXECUTIVE OFFICE OF THE PRESIDENT","Per the authorizing legislation [Drug-Free Communities Act 1997, Public Law No. 105-20, and Reauthorized Public Law No. 115–271], the DFC Support Program has two goals:
1. Establish and strengthen collaboration among communities, public and private non-profit agencies, as well as federal, state, local, and tribal governments to support the efforts of community coalitions working to prevent and reduce substance misuse among youth.
2. Reduce substance abuse use and misuse among youth and, over time, reduce substance misuse among adults by addressing the factors in a community that increase the risk of substance abuse misuse and promoting the factors that minimize the risk of substance misuse."
Social Security Disability Insurance,Social Security Disability Insurance ,"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION","To replace part of the earnings lost because of a physical or mental impairment, or a combination of impairments, severe enough to prevent a person from working."
Social Security Retirement Insurance,,"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION",To replace part of the earnings lost due to retirement.
Social Security Survivors Insurance,,"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION",To replace part of the earnings lost to dependents because of the worker's death.
Help America Vote Act Requirements Payments,Requirements Payment,"ELECTION ASSISTANCE COMMISSION, ELECTION ASSISTANCE COMMISSION","HAVA Section 251 authorizes requirements payments to assist States (including the District of Columbia and U.S. Territories) in meeting the Uniform and Nondiscriminatory Election Technology and Administration Requirements in Title III of the Act (voting systems standards, provisional voting and voting information requirements, computerized statewide voter registration list requirements and requirements for voters who register by mail) and, under certain circumstances, for other activities to improve the administration of Federal elections."
Biomonitoring Programs for State Public Health Laboratories,NA,"CENTERS FOR DISEASE CONTROL AND PREVENTION, HEALTH AND HUMAN SERVICES, DEPARTMENT OF","To support the development or expansion of state-based biomonitoring programs, including necessary infrastructure, that will increase the capability and capacity of state public health laboratories (1) to assess human exposure to environmental chemicals within their jurisdictions; (2) to determine which chemicals people are exposed to and the levels of those chemicals in people’s bodies; (3) to determine the prevalence of people with levels of chemicals that are above a known toxicity threshold; (4) to determine whether levels of  selected chemicals are higher among minorities, children, women of childbearing age, or other potentially vulnerable groups; (5) to assess the effectiveness of  state public health actions to reduce the exposure of their residents to specific chemicals of concern; (6) to compare state-generated biomonitoring data with CDC national biomonitoring data; and (7) to track trends in levels of chemicals in a state’s population or subgroups of that population over time.  "
Supplemental Security Income,Supplemental Security Income ,"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION","To ensure a minimum level of income to persons who have attained age 65 or are blind or disabled, and whose income and resources are below specified levels."
Social Security Research and Demonstration,(SSA Research and Demonstration),"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION","(1) To conduct social, economic, and demographic research on topics important to the Social Security Old Age, Survivors and Disability Insurance and Supplemental Security Income (SSI) programs and the current and future well-being of their beneficiaries; (2) to develop and carry out experiments and research demonstration projects to determine the efficacy of: (a) alternative ways of rehabilitating beneficiaries and encouraging their return to work; and (b) modifying conditions applicable to such beneficiaries including: (i) early referral for rehabilitation services; and (ii) greater use of employers and others in the rehabilitation and placement process."
Social Security - Work Incentives Planning and Assistance Program ,(SSA Work Incentives Planning and Assistance (WIPA) Program)  or Work Incentives Outreach Program,"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION","To comply with the Ticket-to-Work and Work Incentives Improvement Act (TWWIIA) which was passed in December 1999, and reauthorized by the Social Security Protection Act of 2004, which requires the SSA to establish a community-based work incentives planning and assistance program. The purpose of the program is to support beneficiaries who want to return to work to make a successful and profitable transition to the workforce.  Beneficiaries that continue to work improve their economic independence and financial security.  WIPA projects help beneficiaries take advantage of our work incentives programs, which may delay or reduce the effect of work on monetary benefits and health insurance.  Additionally, WIPA projects act as repositories for information about other work incentives, benefits counseling services, and other resources that may help beneficiaries succeed in their work attempts, or may assist beneficiaries to improve financial stability as they return to work."
Social Security State Grants for Work Incentives Assistance to Disabled Beneficiaries,Protection and Advocacy (P&A) Systems: PABSS and SPSSB,"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION","Support State designated Protection and Advocacy (P&) systems.  The Protection and Advocacy for Beneficiaries of Social Security (PABSS) provides legal support, advocacy and information to help you resolve disability employment-related concerns while the Strengthening Protections of Social Security Beneficiaries (SPSSB) or Rep-Payee grant program pays for performance reviews and monitoring of representative payees."
Help America Vote Mock Election Program,,"ELECTION ASSISTANCE COMMISSION, ELECTION ASSISTANCE COMMISSION",To promote voter participation and education in American elections through a program of simulated Federal elections that permits participation by students enrolled in a secondary education program.
Public Health Emergency Preparedness,PUBLIC HEALTH EMERGENCY PREPAREDNESS (PHEP),"CENTERS FOR DISEASE CONTROL AND PREVENTION, HEALTH AND HUMAN SERVICES, DEPARTMENT OF","The PHEP program is a critical source of funding, guidance, and technical assistance for state, territorial, and local public health departments. Preparedness activities funded by the PHEP program are targeted specifically for the development of emergency-ready public health departments that are flexible and adaptable. These efforts support the National Response Framework (NRF), which guides how the nation responds to all types of hazards including infectious disease outbreaks; natural disasters; biological, chemical, and radiological incidents; and explosions.

To help public health departments with their strategic planning, CDC identified 15 public health preparedness capabilities to serve as national public health preparedness standards. State and local jurisdictions can use CDC's Public Health Preparedness Capabilities: National Standards for State and Local Planning to better organize their work and identify the capabilities they have the resources to build or sustain. These standards help ensure that federal preparedness funds are directed to priority areas within individual jurisdictions.

The 2012 PHEP program is currently funded via a joint cooperative agreement award and aligned with the Hospital Preparedness Program (HPP).  PHEP program guidance assists the 62 PHEP awardees in demonstrating measurable and sustainable progress toward achieving the 15 public health preparedness capabilities and other activities that promote safer and more resilient communities.










"
Special Benefits for Certain World War II Veterans,(Special Veterans Benefits; SVB),"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION","To pay a special benefit to certain World War II veterans, who are eligible for Supplemental Security Income (SSI) benefits and meet other specified criteria for each month that they reside outside of the United States."
Social Security Economic Recovery Act Payments,Economic Recovery Act Payments,"SOCIAL SECURITY ADMINISTRATION, SOCIAL SECURITY ADMINISTRATION",The new program is the $13 billion in Economic Recovery Act payments that SSA will be paying recipients in May 2009.  
State and Local Homeland Security National Training Program,Homeland Security National Training Program National Domestic Preparedness Consortium (NDPC) and Continuing Training Grants (CTG),"FEDERAL EMERGENCY MANAGEMENT AGENCY, HOMELAND SECURITY, DEPARTMENT OF","The Department of Homeland Security Fiscal Year (FY) 2019 Homeland Security National Training Program (HSNTP), Continuing Training Grants (CTG) plays an important role in the National Preparedness System to build, sustain, and deliver core capabilities in order to achieve the National Preparedness Goal (the Goal). The Goal is “a secure and resilient Nation with the capabilities required across the whole community to prevent, protect against, mitigate, respond to, and recover from the threats and hazards that pose the greatest risk”. The objective of the National Preparedness System is to facilitate an integrated, whole community, risk-informed, capabilities-based approach to preparedness.

The FY 2019 HSNTP CTG program provides funding to eligible applicants to target training solutions that are available and accessible to a nationwide audience to address emerging threats (specifically cybersecurity) and Community Lifelines (Lifelines) and specifically for Food, Water and Sheltering, Communications and Transportation Lifelines. Lifelines allow for decision makers to rapidly determine whether an incident is large or complex; prioritize and focus response efforts to maintain or restore the most critical services and infrastructure; ensure limited resources can go toward a common goal that requires involvement across the whole community and promote a response that fosters better integration and communication across the whole community since lifeline management transcends public and private sector boundaries. 
Objectives
The FY 2019 HSNTP CTG program’s purpose is to develop and deliver FEMA training that addresses the gaps that inhibit stabilization of Community Lifelines for the greatest impact on the Nation’s preparedness. FEMA and the CTG recipients will concentrate on long-term gaps—including rising disaster costs, new technology, an older and more diverse population, and cybersecurity. Having this focus during and after a disaster, rather than fixating on specific threats and hazards, enables communities to build a culture of preparedness and ready the Nation for catastrophic disasters.

Communities must focus finite resources on mitigating damages to seven lifelines. When they are disrupted, impacts to survivors erupt. Solutions require cross-sector coordination to unify the efforts of government, nongovernmental organizations, and the private sector. Lifelines provide an integrated framework across our missions. CTG applicants should effectively communicate how their proposed training will directly contribute to these critical functions.

National Domestic Preparedness Consortium
The National Domestic Preparedness Consortium duties as established and authorized are to identify, develop, test and deliver training to state, local, territorial and tribal emergency response providers; provide on-site and mobile training at the awareness, performance and management and planning levels; and facilitate the delivery of training by the training partners of the Department of Homeland Security.
The Department of Homeland Security Fiscal Year (FY) 2019 Homeland Security National
Training Program (HSNTP), National Domestic Preparedness Consortium (NDPC) provides
funding to eligible applicants to develop and deliver training solutions to address national
preparedness gaps, map training to the core capabilities, and ensure training is available and
accessible to a nationwide audience.

The FY 2019 NDPC plays an important role in the National Preparedness System to build,
sustain, and deliver core capabilities to achieve the National Preparedness Goal (the Goal).
The Goal is “a secure and resilient nation with the capabilities required across the whole
community to prevent, protect against, mitigate, respond to, and recover from the threats and
hazards that pose the greatest risk”. The objective of the National Preparedness System is to
facilitate an integrated, whole community, risk-informed, capabilities-based approach to
preparedness. Complex and far-reaching threats and hazards require the engagement of
individuals, families, communities, private and nonprofit sectors, faith-based.  The FY 2019 NDPC will highlight lessons learned from the catastrophic disasters of 2017. The purpose is to ensure all FEMA training partners utilize a unified approach and work together on a national level to address the challenges with the greatest impact on the nation’s preparedness. Although the 2017 disaster season was characterized by major hurricanes and wildfires, future seasons could be defined by other types of incidents. Through collaboration, FEMA and the NDPC members will address long-term trends that influence national preparedness—including rising disaster costs, new technology, an older and more diverse population, and emerging threats such as cybersecurity. Focusing on capabilities rather than specific threats and hazards enables communities to build a culture of preparedness and ready the nation for catastrophic disasters."
State and Local Homeland Security Exercise Support,,"HOMELAND SECURITY, DEPARTMENT OF, HOMELAND SECURITY, DEPARTMENT OF","To enhance the capacity of State and local first responders to respond to a weapons of mass destruction (WMD) terrorism incident involving chemical, biological, radiological, nuclear, and explosive devices."
Homeland Security Preparedness Technical Assistance Program,(HSPTAP),"FEDERAL EMERGENCY MANAGEMENT AGENCY, HOMELAND SECURITY, DEPARTMENT OF","The Homeland Security Technical Assistance Program (HSPTAP) is established to build State, local, tribal and territorial (SLTT) capabilities to prevent, protect against, respond to, and recover from major events, including threats or acts of terrorism. This overarching programmatic goal of building state and local capabilities will be achieved through various means and methods, each one aimed at making achieving the National Preparedness Goal and furthering our collective efforts to remain a safe and secure nation. Specific program activities anticipated for achieving this goal will include, but will not be limited to: 
•	production and dissemination of written products relating to emerging homeland security, emergency management and public safety issues and established or model state homeland security and emergency management efforts;
•	providing educational seminars, training and workshops for apprising newly appointed Governor’s Homeland Security Advisors (HSAs) and Emergency Management Directors of federal homeland security doctrine, best-practices and established principles; 
•	facilitating calls, meetings, or discussions amongst representatives from key stakeholder groups on a regular basis which serve to share information, knowledge, experiences, and practices relating to current and emerging homeland security, emergency management and public safety issues; and, 
•	convening trainings, workshops, and other meeting opportunities designed to bring together in a common forum nationwide Homeland Security Advisors, state, local and tribal Emergency Management Directors, as well as other professional organizations in the public and private sectors and to inform partners on the impacts of federal homeland security, emergency management and public safety legislation, regulations and policies on the states.
Each recipient will conduct these specific activities to support either State Emergency Management Directors, Homeland Security Advisors to further build SLTT capabilities. An additional key purpose for the HSPTAP is that the program also furthers the building of a national system of emergency management capabilities that can effectively and efficiently utilize the full measure of the Nation's resources to respond to catastrophic incidents, including natural disasters, acts of terrorism, and other man-made emergencies or events. HSPTAP recipients will conduct activities that bring together the collective perspectives of state and local elected officials and the private sector to provide a broad-based sounding board on homeland security issues for all national stakeholders. The program will serve to establish, provide, and maintain a forum for organizations to exchange ideas, conduct targeted discussions, as well as to provide technical assistance to governors’ offices, associations and organizations on all relevant homeland security policy areas. Finally, HSPTAP will engage the recipient organizations which can work closely with FEMA to develop, transfer, and institutionalize pertinent knowledge at the State and local level for addressing current public policy challenges facing State EM Directors, HSAs and other state and local emergency management officials. HSPTAP recipients, through collaboration with FEMA and other national, regional, state and local entities, will facilitate focused and enhanced communication and coordination among all disciplines and levels of government to address the complex challenges of developing and implementing homeland security policies and practices including: intelligence sharing; State homeland security organization, structure and governance; communications interoperability; critical infrastructure protection; and all hazards disaster prevention, protection, mitigation, preparedness, response and recovery to include areas of emergency management, homeland security, fire, law enforcement, Emergency Management Services (EMS), agriculture, National Guard, emergency communications, and public works. In sum, in addition to building state and local capabilities, the activities conducted under the HSPTAP are structured to address the full spectrum of mission areas, national priorities, and core capabilities outlined in the National Preparedness System and are critical to achieving the National Preparedness Goal."
Non-Profit Security Program,NSGP,"FEDERAL EMERGENCY MANAGEMENT AGENCY, HOMELAND SECURITY, DEPARTMENT OF","The FY 2019 NSGP provides funding support for physical security enhancements and other security related activities to nonprofit organizations that are at high risk of a terrorist attack.  The FY 2019 NSGP seeks to integrate the preparedness activities of nonprofit organizations with broader state and local preparedness efforts.  

There are two funding sources appropriated for nonprofit organizations:
1) Nonprofit Security Grant Program - Urban Area (NSGP-UA): NSGP-UA funds nonprofit organizations located within Urban Area Security Initiative (UASI)-designated urban areas.  
2) Nonprofit Security Grant Program - State (NSGP-S): Under NSGP-S, each state will receive a target allocation for nonprofit organizations located outside of UASI-designated urban areas.

Objectives
	The FY 2019 NSGP objectives are to support efforts that:
•	Build and sustain core capabilities
•	Strengthen governance integration between private nonprofit entities and Federal, state, and local governments
•	Encourage a whole community approach to security and emergency management"
Cuban/Haitian Entrant  Program,Cuban/Haitian Entrant Program,"U.S. CITIZENSHIP AND IMMIGRATION SERVICES, HOMELAND SECURITY, DEPARTMENT OF","To provide primary resettlement services to Cubans and Haitians, paroled into the United States by the Department of Homeland Security (DHS) for humanitarian reasons."
Citizenship Education and Training,,"U.S. CITIZENSHIP AND IMMIGRATION SERVICES, HOMELAND SECURITY, DEPARTMENT OF","The goal of the Citizenship and Assimilation Grant Program is to expand the availability of high quality citizenship preparation services for lawful permanent residents in communities across the nation. Additional activities that support this goal include making citizenship instruction and naturalization application services more accessible to underserved lawful permanent resident populations; developing, identifying, and sharing promising practices in citizenship preparation; supporting innovative and creative solutions to barriers faced by those seeking naturalization; increasing the use of and access to technology in citizenship preparation programs; incorporating assimilation activities into citizenship instruction; working with local libraries, which serve as a vital resource for immigrant communities; and incorporating strategies to foster welcoming communities as part of the citizenship and assimilation process."
Boating Safety,,"HOMELAND SECURITY, DEPARTMENT OF, HOMELAND SECURITY, DEPARTMENT OF",To improve safe operations and uses of water craft.
Boating Safety Financial Assistance,RBS Program,"U.S. COAST GUARD, HOMELAND SECURITY, DEPARTMENT OF","The U.S. Coast Guard supports the recreational boating safety community by funding three grant programs that encourage greater participation and uniformity in boating safety; to reduce the number of accidents, injuries, and deaths on domestic waterways; to permit states, territories, and/or nonprofit organizations to assume the greater share of boating safety education, assistance, and enforcement activities; to assist states, territories, and/or nonprofit organizations in developing, carrying out, and financing their recreational boating safety programs; and to gather important information and data regarding the boating community, the number and different types of boats operated domestically, and how many hours are spent operating on the water."
State Access to the Oil Spill Liability Trust Fund,,"HOMELAND SECURITY, DEPARTMENT OF, HOMELAND SECURITY, DEPARTMENT OF",To encourage greater State participation in response to actual or threatened discharges of oil.
Bridge Alteration,(Truman-Hobbs Act),"HOMELAND SECURITY, DEPARTMENT OF, HOMELAND SECURITY, DEPARTMENT OF","To accomplish alteration of obstructive bridges to render navigation through or under it reasonably free, easy, and unobstructed for the benefit of navigation. In accordance with the Coast Guard Authorization Act of 1996, permanent authority exists in 49 U.S.C. 104(e) to transfer funds from the Federal-Aid Highways discretionary bridge program to the Coast Guard to finance alteration of Truman-Hobbs obstructive highway bridges."
Secret Service_Training Activities,,"HOMELAND SECURITY, DEPARTMENT OF, HOMELAND SECURITY, DEPARTMENT OF","To acquaint local sworn law enforcement officials with the functions of the Secret Service, and the techniques of protecting dignitaries; to assist criminal investigators by training them in the basic examination of questioned documents, and brief law enforcement officials and money handlers in the techniques used in detecting counterfeit documents and money."
Reimbursement for Firefighting on Federal Property,,"HOMELAND SECURITY, DEPARTMENT OF, HOMELAND SECURITY, DEPARTMENT OF",To provide that each fire service organization which engages in firefighting operations on Federal property may be reimbursed for their direct expenses and direct losses (those losses and expenses that are not considered normal operating expenses) incurred in firefighting. 
Hazardous Materials Training Program,(SARA Title III Training Program),"HOMELAND SECURITY, DEPARTMENT OF, HOMELAND SECURITY, DEPARTMENT OF","To make funding available to provide training in support of Tribal governments emergency planning, preparedness, mitigation, response, and recovery capabilities.  These programs must provide special emphasis on emergencies associated with hazardous chemicals."
Hazardous Materials Assistance Program,(CERCLA Implementation),"HOMELAND SECURITY, DEPARTMENT OF, HOMELAND SECURITY, DEPARTMENT OF","To support States, local and Indian tribal governments in oil and hazardous materials emergency planning and exercises and enhance their capabilities to interact with the National Response System (NRS); through the States, provide technical and financial assistance to support activities under the Comprehensive Hazardous Materials (Hazmat) Emergency Response - Capability Assessment Program (CHER-C)."
Flood Insurance,,"FEDERAL EMERGENCY MANAGEMENT AGENCY, HOMELAND SECURITY, DEPARTMENT OF","To enable personal and business property owners and renters to purchase flood insurance coverage for buildings and/or contents in low-to-moderate flood risk areas, as well as in high-risk flood zones to reduce taxpayer provided federal disaster assistance and to promote wise floodplain management practices in the Nation's high-risk flood zones."
Community Assistance Program State Support Services Element (CAP-SSSE),(CAP-SSSE),"FEDERAL EMERGENCY MANAGEMENT AGENCY, HOMELAND SECURITY, DEPARTMENT OF","To provide, through a Cooperative Agreement , a means to ensure that communities participating in the National Flood Insurance Program (NFIP) are achieving flood loss reduction goals of the NFIP. CAP-SSSE funds are to be used by States to provide technical assistance to NFIP communities, to evaluate community implementation/performance of NFIP floodplain management activities, and to build State and community floodplain management expertise and capacity. The CAP-SSSE program supports the Mitigation Mission Area Capabilities and Targets described in the National Preparedness Goal (NPG) under “Planning” and “Risk and Disaster Resilience Assessment”."
Emergency Food and Shelter National Board Program,(EFSP),"FEDERAL EMERGENCY MANAGEMENT AGENCY, HOMELAND SECURITY, DEPARTMENT OF","Program funds support the National Preparedness Goal (NPG) by complementing actions undertaken to achieve an “all-of-Nation preparedness approach that optimizes the use of available resources.”  When a disaster strikes, it is often the poor or those with economic vulnerabilities who suffer the most.  By providing emergency economic assistance that keeps people off the streets, from being evicted from their homes, or with groceries to prevent hunger, the EFSP prepares a population that could otherwise be even more adversely impacted by a disaster situation and mitigates potential burdens imposed on recovery efforts to assist such people.  

For additional details on the NPG, please refer to http://www.fema.gov/pdf/prepared/npg.pdf."
National Urban Search and Rescue (US&R) Response System,"(US&R)
 
","FEDERAL EMERGENCY MANAGEMENT AGENCY, HOMELAND SECURITY, DEPARTMENT OF","The purpose of this Readiness Cooperative Agreement is to support the continued development and maintenance of a national urban search and rescue capability among the 28 task forces within the National Urban Search and Rescue Response System. 

This program supports Mission Area: Response, Mass Search and Rescue Operations, with the target of conducting search and rescue operations in order to locate and rescue persons in distress, based on the requirements of the state and local authorities. This program supports Presidential Policy Directive 8 – National Preparedness, designed to help guide the domestic efforts of all levels of government, the private and nonprofit sectors, and the public to build and sustain the capabilities outlined in the national preparedness goal.  
"
